id	text	location	time_zone	date
418329860365250560	I don't have a New Years resolution...	places you cant imagine	Central Time (US & Canada)	Wed Jan 01 10:36:25 +0000 2014
418329871111028736	Made a new years checklist this year instead of a new years resolution. Lets hope 2014 is all we hope it will be!			Wed Jan 01 10:36:28 +0000 2014
418329873355010049	@TheVampsband #TheVamps2014 MY NEW YEARS RESOLUTION IS TO MEET YOU GUYS AND GET 5/5 FOLLOWS	band,t,j,mickey/thevamps	Hong Kong	Wed Jan 01 10:36:28 +0000 2014
418329875892948992	I think my New Years resolution is going to be no cursing😇.... Nvm fuck that			Wed Jan 01 10:36:29 +0000 2014
418329885988630529	Last night my New Years resolution was to dance more #what			Wed Jan 01 10:36:31 +0000 2014
418329887221350400	New years resolution find ny northface.		Central Time (US & Canada)	Wed Jan 01 10:36:31 +0000 2014
418329899338723329	@TheVampsband #TheVamps2014 MY NEW YEARS RESOLUTION IS TO MEET YOU GUYS AND GET 5/5 FOLLOWS 1	band,t,j,mickey/thevamps	Hong Kong	Wed Jan 01 10:36:34 +0000 2014
418329910923374593	Happy new year  my new years resolution waa to stop smoking last one was yesterday last year haha im doing well	Sunderland, UK	Amsterdam	Wed Jan 01 10:36:37 +0000 2014
418329916501790721	New years resolution: oh wait. I don't have one.			Wed Jan 01 10:36:38 +0000 2014
418329931693576193	My New Years resolution is to eat fast food once a week or less rather than once a day 🐷	UK		Wed Jan 01 10:36:42 +0000 2014
418329934705086464	@TheVampsband #TheVamps2014 MY NEW YEARS RESOLUTION IS TO MEET YOU GUYS AND GET 5/5 FOLLOWS 2	band,t,j,mickey/thevamps	Hong Kong	Wed Jan 01 10:36:43 +0000 2014
418329934990675968	My New Years resolution is to be even a better person &amp; realize my dreams ❤️	In the middle of nowhere	Athens	Wed Jan 01 10:36:43 +0000 2014
418329935070384128	I actually have a new years resolution: concentrate more on the people that care about me and don't waste time on the people who don't		London	Wed Jan 01 10:36:43 +0000 2014
418329935720103936	But really what I meant to say... And my resolution for New Years is nigga we made it #MadeIt #HeadOffice #ladies	The GC π	Central Time (US & Canada)	Wed Jan 01 10:36:43 +0000 2014
418329937888964608	New Years resolution : Drink more because being pissed is soooo much fun !!!	cardiff south wales	London	Wed Jan 01 10:36:44 +0000 2014
418329947946487808	@TheVampsband #TheVamps2014 MY NEW YEARS RESOLUTION IS TO MEET YOU GUYS AND GET 5/5 FOLLOWS 3	band,t,j,mickey/thevamps	Hong Kong	Wed Jan 01 10:36:46 +0000 2014
418329949389725696	People have no fucking right to tell u what ur new years resolution should be. Fucking fix urself up before u judge me	AATW With that white nigguh	Pretoria	Wed Jan 01 10:36:46 +0000 2014
418329952598368256	What's everyone's New Years resolution then ?	..Frome		Wed Jan 01 10:36:47 +0000 2014
418329961356099584	New Years resolution; stop being such a fuck up⭐️🎉🎆	houston tx	Central Time (US & Canada)	Wed Jan 01 10:36:49 +0000 2014
418329967949520896	My new years resolution is to get higher than I did in 2013	toronto	Pacific Time (US & Canada)	Wed Jan 01 10:36:51 +0000 2014
418329968683151361	Lol.....new years resolution my ass	Danville, I.L.	Eastern Time (US & Canada)	Wed Jan 01 10:36:51 +0000 2014
418329970276982785	@TheVampsband #TheVamps2014 MY NEW YEARS RESOLUTION IS TO MEET YOU GUYS AND GET 5/5 FOLLOWS 4	band,t,j,mickey/thevamps	Hong Kong	Wed Jan 01 10:36:51 +0000 2014
